,responce,question
3069,"@116682 Our service should be consistent all across the board, Stuart. So sorry if you experienced otherwise.",When I email @AmericanAir I get the best customer service. Why the people on the phone aren't enabled to do the same just baffles me.
3071,"@116682 We're glad that our team was able to help, but we appreciate this feedback.",@AmericanAir It’s fine. The people on line handled fantastic. I would just hope that all are empowered to make decisions to help the customer.
3073,@116683 Congrats on getting married! We're looking forward to having lots of excited wedding guests. That's a fantastic deal!,Anyone who needs to book a flight for our wedding: DO IT NOW! Round trip only $85 with @AmericanAir 💍✈️
3077,@116684 It sounds like you had a Basic Economy ticket. You're only able to have one personal item underneath the seat when you have this ticket type,@AmericanAir Charging me $50 dollars to bring in a gift bag today was uncalled for. I can fly with anyone. I’m done just throwing money away.
3893,@116938 We're glad that our team was able to help. Have a fantastic evening!,"@AmericanAir just sent me an email giving me 20k miles for a flight delay I complained about on Twitter. Nice job, my friends."
4521,@117155 We have some of the best crew in the business and want you to know that we're glad to have you fly with us today. #smilesfromustoyou!,LAS - PHL 734 1135am @AmericanAir not 1 smile between the whole crew &amp; your terminal for PHL-DUB flight is awful!
4536,"@117161 We try to upgrade as much as possible and will continue to do that. Our apologies that you haven't got upgraded as much as you'd like, Wael.",@AmericanAir #greed comes to mind every time I fly with you. I am considering switching to @Delta even if it means longer flights as they rock!
4538,"@117161 We're truly sorry this has been your experience with us, as we always try to truly hear our customer feedback. We hope you remain loyal.",@AmericanAir Typical empty answers. I wasn't expecting a resolution but you may want to be careful as you will allienate your customers along the way.
4540,"@117161 We never want you to feel this way, and appreciate the feedback you provide!","I am an @AmericanAir frequent flyer and I can attest that they suck
The Best Frequent Flyer Programs to Strive For https://t.co/5hMhrGuYvJ"
4560,@117169 Our sincere apologies for any rudeness. We welcome all families to fly with us and want this to be an exciting experience for your kids.,"@AmericanAir Was my wife/mom. We couldn't believe it! Then she proceeded to try to tell us how to parent our children. Our children, 6 and 4 were perfect"
4562,"@117169 Oh my, we'd like to have more details about what happened. We always expect our team to treat our customers courteously and friendly.","Interacted with one of the rudest flight attendants on @AmericanAir flight 1305 from ORD to SLC. Be patient, she's only 4. #flydeltainstead"
4602,@117181 Your carry-on bag is oversized by the dimensions you gave us. There will be a charge since you'll have to check it. https://t.co/AqqDo7qAE3.,@AmericanAir I bought a carry on luggage that 24×14×9+2.5 EXP. What does the 2.5 EXP STAND FOR on my luggage? Will check in charge me 25?
4604,@117181 You'll get charged just like a normal checked bag and the charge amount depends on your ticket. Please DM your record locator so we can see.,@AmericanAir Will it be complimentary or charged the 25$ or however much it Is?
4620,@117187 That’s #fAAntastic to hear how smooth our pilot’s landing was. Please DM your record locator and we’ll properly recognize our crew. #AATeam,Kudos to the @AmericanAir pilot that had the smoothest landing I’ve experienced
4791,@117240 We want to make sure communication is crystal clear. Please DM your record locator so we can share your feedback.,@AmericanAir might be a good idea 2 have working intercoms on flights.Flight attendant literally sounds like adults talking on Charlie Brown
5872,@117544 We're sorry you feel that way. We appreciate your feedback.,@AmericanAir I don't like the the new livery
5874,@117545 We're sorry for the wait tonight. We'll have you bags out to you as soon as possible. https://t.co/vpkBeWiqTq,@AmericanAir .. landed in Charlotte at 7:11 PM. It’s now 7:52 without any luggage.. or staff in baggage claim.. or belt movement. Hello? https://t.co/PFxh5m9JIl
5876,@117546 We're are almost there just one last leg of your trip and you'll be #homesweethome.,".@AmericanAir Home, please"
5878,@117547 Thanks for the shout-out to PVD! We'd love to forward this on to our #AATeam. Please follow and DM your record locator.,Fantastic job by the @AmericanAir staff at @117548 to get us on our way to the @79605 Championships! Thank you! https://t.co/JqpQe0f9gs
5880,"@117549 Our apologies for the delay, Heather. You should be in the air shortly.",Taking off from CLT to DEN almost 2 hours late had to board a new plane bc the other @AmericanAir plane broke. I'm sick &amp; need to get home 😥
6350,@117695 We're excited to have you on board! Thanks for letting us take you on this #AAdventure.,Flying @AmericanAir tomorrow to Vegas for @644 big 3.0!!!! Can't wait!
6352,"@117695 Wear comfy clothes, stretch prior to boarding and throughout the flight. Also, make sure you drink plenty of water.",@AmericanAir Any tips on how to relax on a long haul flight? #nervousflyer
6354,@117695 We can't wait!,@AmericanAir Cheers!!! See you's in 12 hrs!!
6356,@117696 We'd like more info to see if we can help. Please DM your bag file number.,@AmericanAir sucks!!!!!! So rude! Left my bag somewhere and they wouldn’t help at all! 🤦🏻‍♀️😠👎🏼 kept telling me they didn’t know why!
6358,"@117697 Oh my, please DM your record locator and include your email &amp; mailing address. Lastly, provide as many details as possible.",Hey @AmericanAir! I got food poisoning from your inflight meal on Sunday. Just a heads up in case you want to look in to that. https://t.co/KgiWcryFNY
6360,"@117698 We're sorry for the situation, but we're happy you're making the best of it, John. Please let us know if we can help.",@AmericanAir screwed up. Now me and 12 other recruits are staying the night in Dallas ! Kinda excited
6803,@117839 We're glad you're enjoying some of our #AATeam's great costumes. Their treat is getting to serve our best customers.,@AmericanAir nice work letting your staff dress up for holoween!!! Love it! #ORD
6807,@117841 Width can vary just slightly throughout the cabin. Main Cabin Extra seats always have 4-6 inches of extra legroom.,@AmericanAir you should really mention that some exit row seats are smaller width! Paid xtra for the most uncomfortable seat I've ever had!
6810,"@117842 We're sorry for any rudeness. If you have a Basic Economy ticket, then only a personal item would be allowed on board.","Never flying @AmericanAir again. They flight attendants were rude, and the extortion for carry-on baggage is ridiculous! So disappointed."
6812,@117843 A specialist is still carefully reviewing this. Someone will be in direct contact soon.,Continuamos aguardando de @AmericanAir una explicación por la agresión verbal q sufrió mi esposa por parte de una azafata de esta cia
6814,@117844 Hi there! Our Reservations team can check on flights for you at 800-433-7300.,@AmericanAir Hi!  Can you please give me a phone number to call to check flight status?  Thank you!
7266,@117992 No problem at all. It’s a huge honor for us to support our troops.,@Delta American Airlines extends that courtesy for EVERY flight from EVERY airport. Guess they spoiled me. Thank you @AmericanAir for ur patriotism
7662,@118124 Please send the requested info via DM. We need your contact info (phone and email).,@AmericanAir @Delta @SouthwestAir @116450 12 year as EP with AA. Since they won’t address my concerns who’s interested in my loyalty? https://t.co/rix2Aoi20X
8499,"@118402 If we can take a look, then please DM your record locator and details.",@AmericanAir According to reservations when I spoke with them they said it was nothing that they could do smh
8502,"@118402 We're sorry that this has been your experience, is there some way we can help?","Can’t believe @AmericanAir used to be my favorite airline, it only takes one time to leave a bad taste in my mouth smh"
8504,@118403 Please DM your record locator. We'll take a closer look for you.,@AmericanAir better give me a window seat tomorrow seen as it won’t let me check in online and I have a 7 hr flight and straight to work 😴
8507,"@118404 We'd like to forward this along, Mindy. Please DM your record locator.",One of several questioning loyalty to @AmericanAir after poor treatment by gate agent tonight. Flight 41 ORD to SFO.
8512,@118406 We'll make sure to let our team know about this. Our friends @116462 can also take a look.,"EP on @AmericanAir who continues to not be able to do work. ""Great is what you want to be?"" Sorry, missed by a long shot."
8514,@118406 We're very sorry. We've forwarded it to our team that handles Wi-Fi.,@AmericanAir @116462 I include them on my tweets. They don't respond. You need to dump @116462. They are reflecting badly on @AmericanAir
8516,@118406 The experience of our most loyal customers is paramount. We're installing a new type of much faster Wi-Fi on much of our fleet.,@AmericanAir @116462 Long-standing problem that AA Mgmt. seems unwilling to address. Screw your EP #RoadWarriors becoz we have no options. Just wait.
8518,"@118406 We're sorry if you had a bad experience with our team, Kay. Please let us know if we ca help in some way,",@AmericanAir Really bad service Ron
9544,@118743 Please DM your record locator. We'd like to share this feedback with the Flight Service leadership team.,@AmericanAir Comment doesn’t address problematic comment made by flight attendant.
9547,@118743 We understand that's important to update info quickly and we appreciate your feedback on this.,@AmericanAir Problem is when you check the website compulsively and it’s not updated!
9549,@118743 Gate information is shared on the website. Just input your flight number here: https://t.co/hSJ3SkyGEd.,"@AmericanAir Flght attndnt gives me, US born citizen, English lesson. AA said will record my complaint in system. Do better - train your staff! #stockreplies #microaggression"
9551,@118744 Our offer to help via DM still stands. Please have her reach us there.,@AmericanAir is the biggest fucking joke. How are they still in business. @Delta do us all a favor and teach them how to treat customers
9559,"@118749 It is indeed and we're so proud! By the way, our team in ORD loves you too, Matt. #AAfamily",@AmericanAir amazing picture of our countries flagship carriers jets!!! https://t.co/tHTaqRJEbJ
9561,@118750 She's a beauty! That's a major throwback.,Hmmm @AmericanAir B747 spotted during World Series ad. #tbt #wow
9563,@118751 Please let us know if we can help in some way.,@AmericanAir acá un te serbice sucia. Same price but one baggage less. Bogotá airport staff are rude and make a real mess
9567,@118753 Thanks for your kind words for Cynthia and Diane! We'll be sure to forward these along to their #AATeam.,On my way to #NAPABA17 and received great service from Cynthia and Diane on #AA1816 @AmericanAir - thank you! #executiveplatinum https://t.co/MPcFTiM7bd
9877,@118855 What great costumes! Thanks for this fantastic pic.,HAPPY HALLOWEEN!!!!! @AmericanAir https://t.co/kHH0Je6frQ
9884,@118858 On domestic flights blankets are only offered in First Class. We love traveling families and are sorry for any rudeness.,@AmericanAir My husband with our 1yr baby was refused a blanket cuz it was for first class only on a red eye flight #willneverhavemymoney
10600,"@119085 Thanks, Daniel. We've got a great #WorldSeries going on!",@AmericanAir Brilliant photo.
10603,@118406 Refunds would have to be handled by the @116462 team. We're again very sorry for this experience.,Really @AmericanAir I can't even send or receive email via @116462 WiFi services??? This is insane. I demand my $$$ back for past 3 months
11090,"@119245 You can DM your ticket number, record locator or full name and origin city.",@AmericanAir Could I just dm you my ticket? Lol.
11093,"@119245 We're more than happy to do that, Myra. Please DM your record locator and we'll share your awesome kudos. #AATeam","@AmericanAir Hi there! Since I have your attention, could you tell corporate for me that Pilar and Jaimie atAdmirals Club T2 SFO are AMAZING. Thanks!"
11095,@119245 That's probably the best way to watch the #WorldSeries in our Club. #Cheers,Hey hey hey! ⚾️ #WorldSeries @AmericanAir https://t.co/LeV38WtFPZ
11874,"@119479 We're very sorry for this experience. If we can help with an update, then please share your flight number.",Thanks @AmericanAir for putting us all on 2 broken planes. #stranded
11877,"@119479 It looks like there's a maintenance delay and we've an estimated departure time of 10:40p. We'll get you in the air soon, Bennett.",@AmericanAir flight people at the gate or not communicating to the gate area passengers
11879,@119479 We love hearing this and look forward to welcoming you on board again soon.,@AmericanAir Great thank you. I had a GREAT flight.
11881,@119480 Let us know what you think! We're excited to have you on board.,My flight to MIA next week is on the 1st day @AmericanAir is offering a new pre-order fruit &amp; cheese plate option in F… will try it &amp; see 🤔
11883,@119481 Is there some way we can help?,I hate @AmericanAir
11885,@119481 We don't tolerate discrimination of any kind. Please DM your record locator and contact details (phone and email).,@AmericanAir Yes. Refund my plane ticket😡 with your racist ass workers
11887,@119481 We'll respond shortly via DM.,@AmericanAir And I won’t be flying with your air lines AGAIN -a angry customer😡
11890,@119482 Prices can change very quickly. They're based on availability.,@AmericanAir You increased the price of two near-empty flights while I was paying. Seriously? Is this even legal? Platinum status means nada https://t.co/gkbOFbmNaI
11893,"@119483 Absolutely, please DM your 6 letter record locator and we'll let you know.",@AmericanAir my dad bought me a ticket and i have no idea if i can bring a carry-on with my personal item... can you help?!
11901,@119486 You'll use our 6 letter record locator since the first leg of your trip is with us.,"@AmericanAir if I booked through Qantas for a trip to SYD but first leg to SFO is American Air, which confirmation# do I use to check in?"
11903,@119486 You shouldn't need to. Let our airport team know if you need assistance on the day of departure.,@AmericanAir Do I need to check in for my Qantas leg separately?
12486,@119658 We do many checks pre and post departure. Please share your flight number if we can provide an update.,"@AmericanAir awful service, more than 1 hour delay due to logbook maintenance issues. Where is preventive maintenance?"
12882,@119753 Our apologies for the delay. We know that waiting is no fun and we appreciate your patience.,Wish I could sleep but I’m having to wait for @AmericanAir to delivery my delayed baggage. I paid $25 to have them leave my luggage behind.😡
13339,"@119883 We're sorry for your delay. We can take a closer look at the situation, please DM your record locator.",Hey @AmericanAir I know how you can make that 24 hr delay up to me... #game7 tix??? @117118
13342,@119884 We can take a closer look. Please DM your record locator and details.,"@AmericanAir I've been waiting for three days now regarding a reimbursement because of your poor treatment towards me, a paying customer, after you cancelled my flight and I had to pay for a hotel room in a city that had nothing to do with my final destination"
13345,@119885 We're sorry that's been your experience. Please let us know if we can help in some way.,You want something #spooky today? Fly @americanair because it's a #nightmare
13518,@119931 Sorry for the wait Carlye. We're working hard on getting your bag out to you.,@AmericanAir thanks for making those of us that gate checked our bags getting off a plane at 1am stand around baggage in #atl
14203,@120114 Please have the customer reach out to us directly.,@120115 @AmericanAir what’s up with her bags taking over two hours to claim ?
14473,@120197 Do you have a description of the crewmember?,@AmericanAir Flight 254 from Maui to LAX.  First class (seating and service).
14475,@120197 Thanks for the info David. We'll pass this on to our team so she gets the recognition she deserves.,"@AmericanAir She worked first class.  Blonde hair, shoulder length.  Prob late 40s."
14477,@120197 We've got the best in the business and our #AATeam loves taking care of everyone! Thanks for letting us know how great she is.,Flight attendant on @AmericanAir helped walk an elderly lady 2 the lavatory.  I wish I would’ve asked the FA’s name. She deserves kudos.
14874,@120277 We're thrilled to start off November with you Noemi! #enjoy,Flying high in the sky #earlymorningflight @AmericanAir https://t.co/xvaKU5FRYn
15150,"@120347 Sorry for the inconvenience, Samiey. What's your flight number? We'd like to pass along your feedback.",I love it when there's room in the overhead bin for my carry on but @AmericanAir makes me check it so I can waste another hour when I land.
15152,@120347 Thanks for the info. We'll let the right people know.,@AmericanAir 219
15426,@120422 We're sorry for the frustration this caused. We're glad to hear you've been rebooked.,"@AmericanAir 
 U kept us sittin on the tarmac till we missed our Conn. U booked us a flight tmrw but refused a hotel &amp; food comp! #RefundMe"
15767,"@120496 Aren't they the best?! Glad you had such a great flight, April. Come see us again soon!","@AmericanAir I actually did book Main Cabin Extra.  Great flight, great service, love those cookies! 😁"
15769,"@120496 We know you're ready to stretch out. We offer Main Cabin Extra, with more leg room: https://t.co/N9kHMrvr7b",Look at all the leg room the folks have in the safety video! What's up @AmericanAir ? I want on that flight! 😂 https://t.co/KWvLkp1vNl
16286,@120635 We want you to stay entertained while on board. Take a look here for info on streaming to your device: https://t.co/n3xnGPgfe2,@AmericanAir a Paris - New York 8 hour flight without a personal screen in 2017 ?!?! Are you serious ??? #worstairlineever and no window :-(
16690,@120713 Sorry for the wait. We're working hard to get everyone taken care of as quickly as possible.,@AmericanAir I at the airport CDG 2A. Crowded lines for check-in....I was there 2h30 before takeoff. https://t.co/DRsANNE8K8
17036,@120797 She is a beauty! We won't tell if you don't!,"Hey @AmericanAir, can this beauty be my emotional support pet? 😁✈️👌🏼 #AvGeek #ORD #Dreamliner #787 #K9 https://t.co/E9PhaE1EUT"
17542,"@120942 We'd like to take a look at this John. Meet us in DM with your KTN, date of birth and name as it appears with TSA.",@120943 @120944 is there a place in Dallas where I can get my #precheck status resolved. 7th flight in a row where no status @AmericanAir
18285,"@121138 We appreciate the kudos, Julie. We're always here for you #TweetUsIfYouNeedUs!","As @AmericanAir Executive Platinum I tweet to them often. They are an amazing team!  Immediate responses, incredibly helpful-invaluable resource to their fliers. https://t.co/FWkpYwSNFt"
18893,@121307 You're good to go as long as you have your British passport and return/onward ticket.,@AmericanAir Hey there question: we are travelling from UK to Jamaica transit is Miami do we need esta visa? We hold British passport
18895,@121307 We're sorry. Check with the consulate of the country you’re entering (or passing through) for your requirements. https://t.co/RtwK8VjCeh,@AmericanAir Hi @AmericanAir just want to say how disappointed we were and very upset we Did need the esta. Was really annoying tbh
20105,@121663 We're loving your #AAview and we're so glad we get to share the skies with you!,"Taking off from MIA Int’l
@americanair
#americanview https://t.co/Z3rdseFfpR"
20489,@121777 We don't want you to feel that way. We treat all our customers well and love flying you to AAmazing places!,@AmericanAir Your caste system for economy travelers is Byzantine. We are in the lowest caste. Bad move.
20491,@121778 It can only be used towards the price of the ticket. The premium seats purchase is an ancillary charge.,"@AmericanAir Lol thanks for the reply but this doesn’t make any sense. It’s like saying I can’t use a Starbucks gift card on the cup, just the coffee."
20493,"@121778 Gift cards cannot be used for purchasing seats, our apologies for any inconvenience.",@AmericanAir Hows it possible I cant use my AA gift card b/c Im purchasing a “premium seat?” No free seats available. Do u not want my $500?
20495,"@121779 The club is open from 8a-10p, our team will operate the office after arrivals.",@AmericanAir Aaaaaand... you baggage customer assistance office at VPS is closed. Now what?
20497,"@121779 We understand, Camilo. Be sure to verify that you have all your contents when you arrive.","@AmericanAir Obviously will, but praying it doesn’t get worse / things fall out between DFW and VPS. Every. Single. Time."
20499,@121779 Our apologies for the damage to your bag. Please speak with our Baggage office at the airport to file a claim.,"Once again, thx @AmericanAir Few things as crappy as getting broken/open bags that you have to recheck because complaint is “at destination”"
20501,@121780 We know this can be upsetting. See our airport team when you arrive for your options.,@115873 took an hour and forty minutes which should have only been an hour to get to LAX.  Missed my @AmericanAir flight.  #uberfail #thanks
20503,@121780 Our airport team will help get you on your way and take excellent care of you!,@AmericanAir Had I known I needed to take a shuttle to an additional terminal in LAX I would have added more time.  It was not noted at all.  Sad!
20505,"@121781 That's an amazing, #AAmericanview, we're glad you could catch the gorgeous Texas sunset from the club!","@AmericanAir 
Late afternoon at the DFW Admirals Club - Terminal D. 
What an spectacular view 😀 https://t.co/23ptGxUPhZ"
20507,@121782 We'll be more than happy to give them your thanks! #AATeam,@AmericanAir I'm on flight AA3822 and the cabin crew is simply the best. Will you give them my thanks? I don't have my kudos cards on me.
20963,@121908 It's a pretty sweet ride if we say so ourselves!,Super flight with @AmericanAir @121909 787 #Dreamliner from Chicago O'Hare to @119137 Monday night #redeye
20965,"@121908 Oh, Mark. We're so sorry for your loss.",@AmericanAir My father in law was part of the wing engineering design team - sadly passed last year
20968,@121910 We're so sorry to hear about your mother and we're wishing her the best of wishes. Please follow and DM additional details.,@AmericanAir @121911 My mom took a turn with her terminal https://t.co/Elca1d06Pg is canceling the ticket going to solve the problem?
20970,@121912 We're showing AA723 is on time as of now Marisa. We'll have you on your way soon!,@AmericanAir flight AA723 is scheduled to depart @1654 at 10:35 but they won't let anyone up to the gates. Any updates??
21338,@117695 Vegas here we come!,Just touched down in Heathrow. Great wee flight with @British_Airways. Onto the second leg. Vegas with @AmericanAir #woohoo @644
21340,@117695 We are too! Enjoy your flight.,@AmericanAir So excited
21710,@122126 We've got the best in the biz and they're great at handling any curve ball thrown their way. Thanks for the shout-out! #AATeam,Kudos @AmericanAir agent at Mia d24 for keeping his cool while getting screamed at by some ass who doesn’t get why 4 carryons aren’t ok.
21714,@122129 Way to rock it #AATeam! We're so happy to hear they could help with this sweet treat!,Thanks @AmericanAir agents in Albany and gate F26 in Philly for getting me home early yesterday. #timeisagift #neighborhoodtrickortreatfun
21718,@122130 We're very happy to hear how #AAmazing our FA on board was. We've your info and we'll be sure to pass your kudos along. #AATeam,"@AmericanAir My FA was AMAZING but I didn’t catch his name. 😞 If I DM my record locator, can you pass along a good word to his boss?"
22647,"@122392 Early morning bird! Thanks for visiting the Club, have an excellent flight.","Morning reflection. 
#admiralsclub @americanair #Airport #lefthand #tooearly https://t.co/ZpnSRK5345 https://t.co/MjOosj8V8M"
23175,"@122509 That's sure an awesome sight to see, Ben. We can't think of a better way to start off the day!",#wheelsup @AmericanAir what a beautiful morning in the Queen City. ROA&gt;BDL 3rd week in a row! #execplat https://t.co/NGTdcSeCY5
23177,@122510 Our apologies for the late start. We'll get our crew complete and get you going soon.,@AmericanAir I can understand delays for various reasons but a 6:25am departure where your #captain didn't get a wake up call? #MakeItRight
23179,@122510 Our airport team is working on this. Thanks for your continued patience.,@AmericanAir Apologies? #DoSomething about it. Hundred plus #passengers here and your captain is not due to #sleep?? #CustomerService #travel #trip #help
23181,@122510 We'll be in the air soon and our team will do all they can to make up the time in the skies.,@AmericanAir Hopefully to figure out a compensation plan for the passengers. Many of us missing connections and important meetings now due to this.
23183,"@122510 If they're going to let you off the plane, we can move you to flight 19 departing at 9:05a instead. Please let us know if that will work.",@AmericanAir NOW we are apparently going back to the gate bc of a #mechanical issue. #Unacceptable. Please DM me with a real #resolution. #travel
23185,"@122510 We've moved you to the 9:05a flight, but we're unable to offer an upgrade. Please DM us when you land and we'll look at other options.",@AmericanAir Ok we are getting off. Upgrade me on the 9:05am please in first class. I fly every week with you all.
23189,@122510 We see your DM and will reply to your comment there.,@AmericanAir Ok landed. What compensation can you provide for this 2.5 hour delay?
23193,"@122511 Our fleet is getting younger, and younger by the day. Keep an eye out for the exciting changes that are to come.",The plane that @AmericanAir just flew from Montevideo to Miami should be retired and whoever prepared the inflight meal should be jailed.
